Family;Genus_species;ITD;social_two;social_tree;Nesting;Lecty
Megachilidae;Megachile_sicula;4,3;Solitary;Solitary;Constructs aboveground nests of sand shaped into a ball and attached to twigs or rocks;Oligolectic
Megachilidae;Osmia_bicornis;3,04;Solitary;Solitary;Hole, also excavastes burrows in crumbling or soft mortar;Polylectic
Megachilidae;Osmia_cornifrons;2,9;Solitary;Solitary;Hole;Polylectic
Megachilidae;Osmia_cornuta;3,36;Solitary;Solitary;Hole;Polylectic
Megachilidae;Osmia_lignaria;2,9;Solitary;Solitary;Hole;Polylectic
Megachilidae;Osmia_maritima;2,9;Solitary;Solitary;Ground;Polylectic
Megachilidae;Osmia_mustelina;3,5;Solitary;Solitary;Hole;Polylectic
Megachilidae;Osmia_pedicornis;3,3;Solitary;Solitary;NA;Polylectic
Melittidae;Dasypoda_hirtipes;2,9;Solitary;Solitary;Ground;Oligolectic
Apidae;Melipona_grandis;3,21;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Melipona_seminigra;2,9;Eusocial;Highly Eusocial;Hive;Polylectic
Apidae;Bombus_pauloensis;4,06;Eusocial;Primitively Eusocial;Hive;Polylectic
