Authors;Year;Region;Country;Habitat;Family;Genus_species;Sex;Sex_Imp;Metric;N;distance_type;Distance;SD;SE;CI_95;Foraging trips cease (km);Communication ceases (km);Notes;follow_up
Darvill et al. (2004);2004;Europe;UK;agriculture woodland urban;Apidae;Bombus_terrestris;Female;Female;molecular;97;Mean;312,5;;;;;;yes_pdf;
Desjardins and De Oliveir (2006);2006;North America;Canada;Agriculture;Apidae;Bombus_impatiens;Female;Female;nest plant association;;Max;400;;;;;;;
Dhaliwal and Sharma (1973);1973;Asia;India;Agriculture;Apidae;Apis_cerana;Female;Female;nest plant association;;Max;900;;;;;;Cauliflower;
Dhaliwal and Sharma (1973);1973;Asia;India;Agriculture;Apidae;Apis_cerana;Female;Female;nest plant association;;Max;1100;;;;;;Barberry;
dos Santos C.F., Imperatriz-Fonseca V.L., Arias M.C.;2016;South America;Brazil;;Apidae;Tetragonisca_angustula;Male;Male;molecular;Not sure - 33 nests;Max;1677;;;;;;Dispersal distance;
dos Santos C.F., Imperatriz-Fonseca V.L., Arias M.C.;2016;South America;Brazil;;Apidae;Tetragonisca_angustula;Male;Male;molecular;Not sure - 33 nests;Mean;612;434;;;;;Dispersal distance;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_cerana;Female;Female;waggle dance;;Max;1900;400;;;;Max = mean maximum;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_cerana;Female;Female;waggle dance;;Mean;195;;;;;50%;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_dorsata;Female;Female;waggle dance;;Max;12000;6100;;;;Max = mean maximum;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_dorsata;Female;Female;waggle dance;;Mean;863;;;;;50%;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_florea;Female;Female;waggle dance;;Max;11200;2500;;;;Max = mean maximum;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_florea;Female;Female;waggle dance;;Mean;268;;;;;Taken empirical data, not data from other sources (see additional references). Mean = 50%;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_mellifera;Female;Female;waggle dance;;Max;7900;900;;;;Max = mean maximum;yes_pdf;
Dyer and Seeley (1991);1991;Asia;Thailand;Tropical rainforest;Apidae;Apis_mellifera;Female;Female;waggle dance;;Mean;1650;;;;;50%;yes_pdf;
Esser (2005);2005;Europe;Germany;NA;Colletidae;Colletes_daviesanus;Female;Female;mark recapture;74;Max;2225;;;;;Can only find abstract - thesis;yes_pdf;
Fabre (1914);1914;Europe;France;NA;Megachilidae;Megachile_parietina;Female;Female;homing;;Mean;4000;;;;;2.5 miles = 4km;yes_pdf;
Fabre (1914);1914;Europe;France;NA;Megachilidae;Megachile_sicula;Female;Female;homing;;Mean;4000;;;;;2.5 miles = 4km;yes_pdf;
Franzen et al. (2009);2009;Europe;Sweden;Mixed agriculture/wild;Andrenidae;Andrena_hattorfiana;Female;Female;mark recapture;80;Max;83;;;;;Smaland;yes_pdf;
Franzen et al. (2009);2009;Europe;Sweden;Mixed agriculture/wild;Andrenidae;Andrena_hattorfiana;Female;Female;mark recapture;171;Max;130;;;;;Arontorp;yes_pdf;
Franzen et al. (2009);2009;Europe;Sweden;Mixed agriculture/wild;Andrenidae;Andrena_hattorfiana;Female;Female;mark recapture;80;Median;52;;;;;Smaland;yes_pdf;
Franzen et al. (2009);2009;Europe;Sweden;Mixed agriculture/wild;Andrenidae;Andrena_hattorfiana;Female;Female;mark recapture;171;Median;76;;;;;Arontorp;yes_pdf;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;61;Mean;518;;;86;;;April;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;234;Mean;461;;;41;;;May;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;116;Mean;670;;;110;;;June;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;209;Mean;1229;;;175;;;July;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;166;Mean;589;;;64;;;August;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;95;Mean;685;;;96;;;September;
Garbuzov M., Scharch R., Ratnieks F.L.W.;2015;Europe;UK;urban;Apidae;Apis_mellifera;Female;Female;waggle dance;50;Mean;846;;;235;;;October;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;;Max;6117;;;;;;carrot;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;;Max;4346;;;;;;mixed;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;559;Mean;1663;;;;;;carrot;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;580;Mean;557;;;;;;onions;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;59;Mean;705;;;;;;yellow star thistle;
Gary 1972B;1972;North America;USA;Agriculture;Apidae;Apis_mellifera;Female;Female;mark recapture;37;Mean;1186;;;;;;morning glory;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_barbilabris;Female;Female;homing;36;Max;530;;;;;90%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_barbilabris;Female;Female;homing;36;Median;120;;;;;50%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_flavipes;Female;Female;homing;36;Max;415;;;;;90%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_flavipes;Female;Female;homing;36;Median;150;;;;;50%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_vaga;Female;Female;homing;42;Max;510;;;;;90%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Andrenidae;Andrena_vaga;Female;Female;homing;42;Median;260;;;;;50%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Megachilidae;Osmia_bicornis;Female;Female;homing;27;Max;900;;;;;90%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Megachilidae;Osmia_bicornis;Female;Female;homing;27;Median;500;;;;;50%;yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Apidae;Eucera_salicariae;Female;Female;homing;40;Max;400;;;;;90% (Data from Molitor 1936/37);yes_pdf;
Gathmann and Tscharntke (2002);1998;Europe;Germany;Agriculture;Apidae;Eucera_salicariae;Female;Female;homing;40;Median;185;;;;;50% (Data from Molitor 1936/37);yes_pdf;
Gebhardt and Rohr (1987) in Gathmann and Tscharntke (2002);1987;;;;Andrenidae;Andrena_cineraria;NA;NA;NA;;Max;300;;;;;;no_access_LK;
Gebhardt and Rohr (1987) in Gathmann and Tscharntke (2002);1987;;;;Andrenidae;Andrena_clarkella;NA;NA;NA;;Max;300;;;;;;no_access_LK;
Gebhardt and Röhr (1987);1987;;;;Andrenidae;Andrena_cineraria;NA;Female;host plant association;NA;Max;300;;;;;Foraging distance;no_access_LK;
Gebhardt and Röhr (1987);1987;;;;Andrenidae;Andrena_clarkella;NA;Female;host plant association;NA;Max;300;;;;;Foraging distance;no_access_LK;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_balteatus;Female;Female;molecular;15;Max;541;;;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_balteatus;Female;Female;molecular;15;Mean;85,4;;15;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_bifarius;Female;Female;molecular;8;Max;541;;;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_bifarius;Female;Female;molecular;8;Mean;110,25;;41,7;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_flavifrons;Female;Female;molecular;30;Max;505;;;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_flavifrons;Female;Female;molecular;30;Mean;23,8;;10,1;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_sylvicola;Female;Female;molecular;5;Max;681;;;;;;;
Geib J.C., Strange J.P., Galen A.;2015;North America;USA;subalpine;Apidae;Bombus_sylvicola;Female;Female;molecular;5;Mean;74,7;;56,3;;;;;
Goulson and Stout (2001);2001;Europe;UK;urban;Apidae;Bombus_terrestris;Female;Female;homing;56;Max;9800;;;;;n = recapture number;yes_pdf;
