Id,Genus,Subgenus,Specific epithet ,Location of measured specimen,Country,New record ,State ,Municipality,Day ,Month,Year,Location ,Sampling point,ITD,ITD average,Sex,Collector,Collection ID
1028,Nannotrigona,NA,punctata,UFMG,Brasil,no,Pará,Canaã dos Carajás,23,xi,2012,NA,NA,1.3,NA,Female,R. B. Martines,UFMG-IHY 1301925
1029,Nannotrigona,NA,punctata,UFMG,Brasil,no,Pará,Parauapebas,8,iii,2013,morro 2- minA N5,NA,1.3,NA,Female,E. L. N. Siqueira,UFMG-IHY 1302769
1030,Nannotrigona,NA,punctata,UFMG,Brasil,no,Pará,Parauapebas,8,iii,2013,morro 2- minA N5,NA,1.4,NA,Female,E. L. N. Siqueira,UFMG-IHY 1302817
1031,Nannotrigona,NA,schultzei,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.2,1.2,Female,A.M.S.Dias,UFMG IHY 1312146
1032,Nannotrigona,NA,schultzei,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.2,NA,Female,A.M.S.Dias,UFMG IHY 1312135
1033,Nannotrigona,NA,schultzei,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.3,NA,Female,A.M.S.Dias,UFMG IHY 1312137
1034,Nannotrigona,NA,schultzei,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.3,NA,Female,A.M.S.Dias,UFMG IHY 1312071
1035,Nannotrigona,NA,schultzei,UFMG,Brasil,no,Pará,Canaã dos Carajás,1,iii,2012,NA,NA,1.2,NA,Female,A.M.S.Dias,UFMG IHY 1312161
1036,Nannotrigona,NA,testaceicornis,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,1,viii,1995,NA,NA,1.3,1.3,Female,F.A.Silveira,UFMGIHY46
1037,Nannotrigona,NA,testaceicornis,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,1,viii,1995,NA,NA,1.3,NA,Female,F.A.Silveira,UFMGIHY47
1038,Nannotrigona,NA,testaceicornis,UFMG,Brasil,no,Minas Gerais,Belo Horizonte,26,ix,1995,NA,NA,1.3,NA,Female,F.A.Silveira,UFMGIHY65
1039,Nannotrigona,NA,testaceicornis,UFMG,Brasil,no,Minas Gerais,Brumadinho,18,vi,2000,NA,NA,1.3,NA,Female,NA,UFMG IHY 18619
1040,Nannotrigona,NA,testaceicornis,UFMG,Brasil,no,Minas Gerais,Brumadinho,21,xii,2011,NA,NA,1.3,NA,Female,NA,UFMG IHY 1414422
1041,Neocorynura,NA,oiospermi,UFMG,Brasil,yes,Minas Gerais,Itabira,22,ii,2016,Ponto 1,NA,1.7,1.8,Female,A. Cordeiro,UFMG-IHY 1609656
1042,Neocorynura,NA,oiospermi,UFMG,Brasil,yes,Minas Gerais,Nova Lima,3,ii,2013,Serra da Rola-Moça,NA,1.7,NA,Female,J.E.Santos Jr.,UFMG-IHY 1403244
1043,Neocorynura,NA,oiospermi,UFMG,Brasil,yes,Minas Gerais,Nova Lima,4,x,2015,Mata,NA,1.8,NA,Female,A.R. Lima,UFMG-IHY 1600284
